Complexity,Loss,Equation
1,367.7216,"53.695843"
3,99.34171,"Clim_Sens * 17.491596"
5,67.26453,"(Clim_Sens * 25.704046) - 26.95912"
7,34.619286,"((Elast_ESD_Driver * Clim_Sens) * 25.685057) - 26.907187"
9,33.752285,"((Clim_Sens * (Elast_ESD_Driver * 24.349323)) - 26.409824) * GDP"
10,29.940298,"(Clim_Sens * ((Elast_ESD_Driver * 26.14647) + sin(SDR))) - 26.504644"
13,25.457867,"Clim_Sens * ((((Clim_Sens + 7.5385165) * Elast_ESD_Driver) / 0.3959776) - (6.617116 + SDR))"
15,23.671894,"((((Clim_Sens + 8.079631) * (Elast_ESD_Driver / 0.40361753)) - (SDR + 6.0099597)) - Biomass_Poten) * Clim_Sens"
16,21.966297,"(Clim_Sens + log(GDP)) * (((Clim_Sens + 7.5385165) * (Elast_ESD_Driver / 0.3959776)) - (SDR + 6.617116))"
18,21.30582,"(log(GDP) + Clim_Sens) * ((((Elast_ESD_Driver * (Clim_Sens + 7.204902)) / 0.39026982) - (SDR + 5.0713916)) - Biomass_Poten)"
21,20.952051,"((log(GDP) + (log(GDP) + Clim_Sens)) * ((Elast_ESD_Driver * ((Clim_Sens / 0.3491322) + 17.223564)) - (SDR + 6.9045258))) + 1.9514512"
25,20.727089,"(((Clim_Sens - ((GDP * Elast_ESD_Driver) / -0.35559964)) * ((Elast_ESD_Driver * ((Clim_Sens / 0.35993665) + Wind_Poten)) - (SDR * 0.6070883))) - (-6.8740416 / Biomass_Poten)) + Elast_ESD_Driver"
27,20.540222,"(Elast_ESD_Price / -0.47658697) + (((Clim_Sens - ((GDP * Elast_ESD_Driver) / -0.33041975)) * ((Elast_ESD_Driver * (Wind_Poten + (Clim_Sens / 0.3700029))) - (0.543686 * SDR))) - (-8.359671 / Biomass_Poten))"
30,20.495024,"(Elast_ESD_Price / -0.47658697) + ((log(CO2_Storage_Poten) + ((Clim_Sens - ((GDP * Elast_ESD_Driver) / -0.33041975)) * ((Elast_ESD_Driver * ((Clim_Sens / 0.3700029) + Wind_Poten)) - (0.543686 * SDR)))) - (-8.359671 / Biomass_Poten))"
