Complexity,Loss,Equation
1,98.225464,"38.270325"
3,8.814875,"Clim_Sens * 12.282841"
5,7.1553125,"(Clim_Sens * 14.151037) + -6.1327925"
7,6.1780653,"(Clim_Sens - (1.675621 / SDR)) / 0.07070263"
9,6.084573,"(Clim_Sens * (Clim_Sens + 7.564063)) + (SDR * GDP)"
10,5.6700616,"(cos(Clim_Sens + (GDP + -18.668606)) * 17.740799) + 43.096737"
15,5.398452,"((cos((21.769823 / Clim_Sens) - -0.7904295) + 12.756363) - log(7.816165 / SDR)) * Clim_Sens"
16,5.2257066,"((sin(cos((21.769823 / Clim_Sens) + -11.693689)) + 12.756363) - log(7.816165 / SDR)) * Clim_Sens"
17,5.0862207,"(((sin((19.676157 / Clim_Sens) + 28.263353) + log(SDR)) + 10.046879) * Clim_Sens) + (GDP + Pop)"
19,4.9408255,"(Clim_Sens * (((GDP + sin((20.628464 / Clim_Sens) + -16.024225)) + 12.089129) - log(16.59612 / SDR))) + GDP"
21,4.677373,"(Clim_Sens * (sin((20.130512 / Clim_Sens) + 28.116432) + ((GDP + 9.181482) + GDP))) + ((SDR - 2.7807038) + log(Clim_Sens))"
23,4.5776696,"(((Clim_Sens * (sin((15.646917 / Clim_Sens) + 54.67623) + (log(SDR) + (GDP + 2.5153036)))) + GDP) + (GDP - -3.5652986)) * 1.7793016"
28,4.554328,"(Clim_Sens * (((-1.2620401 - log(12.170625 / SDR)) + ((GDP + 11.683698) + GDP)) + sin((20.033463 / Clim_Sens) + 28.159145))) + (sin(1.4521799 - SDR) + 2.5207436)"
