Complexity,Loss,Equation
1,264.71396,"45.541103"
3,169.3693,"Clim_Sens * 14.601666"
5,99.160835,"Clim_Sens * (17.915258 - Temp_Limit)"
7,78.90322,"Clim_Sens * ((Elast_ESD_Driver * 17.898617) - Temp_Limit)"
9,77.137146,"(-7.0555253 - (Elast_ESD_Driver * (Temp_Limit + -24.930689))) * Clim_Sens"
10,71.34163,"Clim_Sens * ((Elast_ESD_Driver * 17.792454) + (cos(Delay) - Temp_Limit))"
12,67.38691,"Clim_Sens * ((Elast_ESD_Driver * 18.680817) + ((cos(Delay) - Temp_Limit) * 1.2788146))"
13,55.073643,"Clim_Sens * (((sin(exp(Temp_Limit) - Delay) + 17.585793) * Elast_ESD_Driver) - Temp_Limit)"
15,55.073338,"((((sin(exp(Temp_Limit) - Delay) + 17.563751) * Elast_ESD_Driver) - Temp_Limit) * Clim_Sens) + 0.067052566"
17,44.06598,"(((13.34379 - Temp_Limit) + (0.7833185 / sin(Delay + exp(Temp_Limit)))) * (Elast_ESD_Driver * 1.3829676)) * Clim_Sens"
19,43.248005,"(Clim_Sens * ((Elast_ESD_Driver + ((12.296341 - Temp_Limit) + (0.78300726 / sin(Delay + exp(Temp_Limit))))) * Elast_ESD_Driver)) * 1.3878387"
20,42.189938,"((((0.49658945 / sin(Delay + sin(exp(Temp_Limit)))) + (Elast_ESD_Driver + (13.0757675 - Temp_Limit))) * 1.364336) * Clim_Sens) * Elast_ESD_Driver"
21,41.1272,"((((((0.78425825 / sin(exp(Temp_Limit) + Delay)) + (GDP - Temp_Limit)) + 17.41495) * Elast_ESD_Driver) + -5.2123094) * 1.3876352) * Clim_Sens"
23,41.04409,"((Clim_Sens * 1.3868403) * ((((GDP + 17.49812) + ((0.78412026 / sin(Delay + exp(Temp_Limit))) - Temp_Limit)) * Elast_ESD_Driver) + -5.5802636)) - -1.3148607"
24,40.93707,"(Clim_Sens * ((Elast_ESD_Driver * (((((1.2593176 - cos(GDP)) / sin(exp(Temp_Limit) + Delay)) - Temp_Limit) + 17.499506) + GDP)) + -5.29348)) * 1.387437"
25,40.562054,"(1.388437 * Clim_Sens) * ((((GDP + ((cos(sin(Temp_Limit + 0.6044641)) / sin(Delay + exp(Temp_Limit))) - Temp_Limit)) + 17.417952) * Elast_ESD_Driver) + -5.2184763)"
26,40.117893,"(Clim_Sens * 1.327007) * ((((GDP + ((cos(sin(exp(Temp_Limit + 0.5668864))) / sin(Delay + exp(Temp_Limit))) - Temp_Limit)) + 17.791286) * Elast_ESD_Driver) + -4.8775105)"
28,39.24177,"GDP + ((cos(Clim_Sens) + (((Elast_ESD_Driver * (((cos(cos(Clim_Sens - Temp_Limit)) / sin(exp(Temp_Limit) + Delay)) - Temp_Limit) + 18.464409)) + -5.1603346) * Clim_Sens)) * 1.379315)"
30,38.199642,"((((Elast_ESD_Driver * ((((cos(cos(Temp_Limit - Clim_Sens)) / sin(exp(Temp_Limit) + Delay)) - Temp_Limit) + GDP) + 17.661797)) + -5.364603) * Clim_Sens) + cos(Clim_Sens)) * (GDP + 0.32679453)"
