Complexity,Loss,Equation
1,134.27243,"10.180384"
3,86.39672,"36.124462 / Clim_Sens"
5,3.9990468,"(Clim_Sens * -16.925066) + 63.28923"
6,1.5751486,"(sin(Clim_Sens) * 21.098202) + 9.605567"
8,1.1468017,"sin(Clim_Sens - 19.34227) * (61.089767 / Clim_Sens)"
10,1.1452767,"((sin(Clim_Sens - 22.53282) / Clim_Sens) * -61.90124) - 0.82590735"
11,1.0382937,"(9.673596 + (sin(Clim_Sens) * 20.78399)) - sin(Clim_Sens * -3.4895031)"
13,1.0382936,"(((sin(Clim_Sens) * 20.783981) - sin(Clim_Sens * -3.4895012)) + 14.648748) - 4.9751506"
15,0.9285515,"(((sin(Clim_Sens) * 16.256218) - sin(Clim_Sens * -3.3879993)) - (Clim_Sens * 3.6326113)) + 21.171995"
19,0.8554508,"sin(Clim_Sens - 19.3391) * (((Clim_Sens - (Elast_ESD_Driver * 1.5465915)) * (Clim_Sens + (cos(Clim_Sens) - 10.975672))) + 33.619373)"
21,0.81535447,"(((Clim_Sens - (Elast_ESD_Driver * 1.6331228)) * (((Clim_Sens / Elast_ESD_Driver) + cos(Clim_Sens)) - 11.453806)) + 33.24813) * sin(Clim_Sens - 19.340048)"
22,0.80768555,"sin(Clim_Sens - 19.328903) * (((Clim_Sens + (cos(Clim_Sens) - 8.844944)) * (Clim_Sens - (Elast_ESD_Driver * sin(Clim_Sens - 19.485622)))) + 36.2634)"
24,0.7895287,"(((Clim_Sens - (1.5231869 * Elast_ESD_Driver)) * (cos(sin(Clim_Sens * -1.2883222) / 0.42159355) + (Clim_Sens - 11.593604))) + 33.25914) * sin(Clim_Sens - 19.333952)"
25,0.77335143,"((((Clim_Sens + (cos((Clim_Sens / Elast_ESD_Driver) * Biomass_Poten) - 11.7247095)) * (Clim_Sens - (Elast_ESD_Driver * 1.5732112))) + 34.362526) * sin(Clim_Sens - 19.370949)) - 0.5532785"
27,0.7525187,"(((((Clim_Sens + cos((Clim_Sens * Biomass_Poten) / (Elast_ESD_Driver * 1.0393616))) - 11.7247095) * (Clim_Sens - (Elast_ESD_Driver * 1.5732112))) + 34.362526) * sin(Clim_Sens - 19.370949)) - 0.47170705"
29,0.7454169,"(((((Clim_Sens + cos((Clim_Sens / -0.9301648) * (Biomass_Poten / (Elast_ESD_Driver * 1.136708)))) - 11.7247095) * (Clim_Sens - (Elast_ESD_Driver * 1.5732112))) + 34.362526) * sin(Clim_Sens - 19.370949)) - 0.5532785"
