Complexity,Loss,Equation
1,429.99414,"11.978084"
3,172.14595,"Temp_Limit * 4.7340713"
4,147.4813,"exp(Temp_Limit * 0.46690297)"
5,137.21933,"(Temp_Limit - 1.461485) * 6.4847755"
6,122.09006,"log(Temp_Limit + -0.6922273) / 0.04719482"
8,120.65187,"log((Temp_Limit * 1.7179466) + -1.8963286) / 0.059874125"
9,46.332985,"(Clim_Sens * ((Temp_Limit * 2.105314) + -19.40292)) + 50.73402"
11,42.694183,"((((Temp_Limit * Elast_ESD_Driver) + -9.266786) * Clim_Sens) * 2.1021616) + 50.981205"
12,38.312584,"(((Temp_Limit - cos(Temp_Limit)) + -9.322963) * (Clim_Sens * 2.150685)) + 50.755863"
14,33.57956,"((Clim_Sens * ((Temp_Limit + -9.97793) - sin(Temp_Limit * 9.135573))) * 1.8672826) + 49.426384"
15,29.029186,"44.70243 + (((Temp_Limit + -8.682199) * (2.3058534 * Clim_Sens)) + exp(cos(Temp_Limit) * -5.602798))"
16,26.08786,"Elast_ESD_Driver * (((cos(Temp_Limit * -20.244596) + (Clim_Sens * 2.2262414)) * (Temp_Limit - 8.825808)) + 47.99394)"
17,25.400225,"((((Elast_ESD_Driver * Temp_Limit) + -8.753314) * (Clim_Sens * 2.304466)) + 45.05968) + exp(cos(Temp_Limit) * -5.625077)"
18,23.249271,"(exp(cos(Temp_Limit) * -5.624755) + ((Clim_Sens * 2.308852) * ((Temp_Limit + cos(Clim_Sens)) - 8.660565))) + 50.07436"
19,23.146212,"((Clim_Sens * (sin(Delay) + ((Temp_Limit - 8.824123) + -0.82496583))) * 2.3637755) + ((cos(Temp_Limit) * -25.618578) + 50.71661)"
20,15.833319,"((cos(Temp_Limit) * -25.56551) + (Clim_Sens * ((sin(Delay) + ((cos(Clim_Sens) + Temp_Limit) - 8.826867)) * 2.3632624))) + 50.31225"
21,15.220131,"((cos(Clim_Sens) + ((Temp_Limit + sin(Delay)) - 8.432988)) * (Clim_Sens * 2.5549145)) + (exp(cos(Temp_Limit) * -6.184085) + 49.18149)"
22,12.606731,"(((cos(Temp_Limit) * -25.413403) + 50.162674) + ((Clim_Sens * 2.3616307) * (((Temp_Limit + cos(Clim_Sens)) - 8.799294) + sin(Delay)))) * Elast_ESD_Driver"
23,12.027865,"Elast_ESD_Driver * ((Clim_Sens * (((cos(Clim_Sens) + (Temp_Limit - 8.41283)) + sin(Delay)) * 2.5506926)) + (exp(cos(Temp_Limit) * -6.165121) + 49.051476))"
25,11.850261,"(Elast_ESD_Driver * ((((cos(Clim_Sens) + (sin(Delay) + (Temp_Limit - 8.392967))) * (Clim_Sens * 2.5502925)) + exp(cos(Temp_Limit) * -6.16896)) + 52.877132)) - 4.032135"
