Complexity,Loss,Equation
1,0.7329247,"0.6391763"
5,0.46434075,"0.40228888 + (x0 * x1)"
7,0.18176588,"(x0 * (x1 * 0.59068656)) + 0.5783247"
9,0.17900057,"((x0 * (x1 - 0.08170666)) * 0.60221356) + 0.57354414"
13,0.15400279,"(((((x0 * x1) * 0.14376892) - x0) * x1) * -0.6719869) + 0.55055577"
17,0.14550817,"0.5502736 + (((((x0 * ((x1 * x1) * 0.16533662)) / 1.1509119) - x0) * x1) * -0.67250544)"
25,0.09799783,"((((0.015391881 * x2) * x0) * x2) + ((x1 + (x1 + (x2 * (x2 / x0)))) * (0.29096422 * x0))) - (-0.20624967 / 0.8201959)"
27,0.09123005,"((((((0.2632884 / (x1 / 0.2630037)) * (x2 * x0)) * x2) + (x1 + (((x2 * x2) / x0) + x1))) * 0.30177444) * x0) - -0.2764197"
