Complexity,Loss,Equation
1,14.856903,"27.645937"
3,11.337322,"Clim_Sens + 24.507435"
5,6.174423,"(Clim_Sens * 4.3691587) + 13.936294"
6,4.2386155,"exp(Clim_Sens - 2.0644376) + 23.87521"
7,3.9076493,"Elast_ESD_Driver * ((Clim_Sens * 4.280322) + 14.20192)"
8,1.5969675,"Elast_ESD_Driver * (exp(Clim_Sens - 2.0547888) + 23.836445)"
10,0.8081269,"(Elast_ESD_Driver * (exp(Clim_Sens - 2.0447094) + 19.834864)) + SDR"
12,0.44505277,"(((exp(Clim_Sens - 2.09305) + SDR) * GDP) + 19.46736) * Elast_ESD_Driver"
14,0.39041433,"Elast_ESD_Driver * ((GDP * ((Other_ESD_Drivers * SDR) + exp(Clim_Sens - 2.0640256))) + 19.47096)"
16,0.3411276,"(((GDP * ((Other_ESD_Drivers * SDR) + exp(Clim_Sens - 2.0866892))) + 16.63146) * Elast_ESD_Driver) + 2.7853088"
17,0.32422945,"sin(Clim_Sens) + (((GDP * ((Other_ESD_Drivers * SDR) + exp(Clim_Sens - 1.9645686))) + 18.89514) * Elast_ESD_Driver)"
18,0.27176854,"(((GDP * (exp(Clim_Sens - 2.0840068) + (SDR * (Other_ESD_Drivers - -0.34906662)))) + 16.430586) * Elast_ESD_Driver) + 1.4885415"
19,0.25469914,"(Elast_ESD_Driver * ((GDP * (exp(Clim_Sens - 1.9558179) + (SDR * (Other_ESD_Drivers - -0.35694656)))) + 17.311222)) + sin(Clim_Sens)"
20,0.25052598,"(Elast_ESD_Driver * ((GDP * (exp(Clim_Sens - 1.9558179) + (SDR * (Other_ESD_Drivers - -0.35694656)))) + 17.311222)) + sin(sin(Clim_Sens))"
23,0.21425596,"(sin(Clim_Sens - -1.1468401) + ((((exp(Clim_Sens - 2.0695384) + ((Other_ESD_Drivers - -0.3936047) * SDR)) * GDP) + 16.261494) * Elast_ESD_Driver)) + 2.132074"
