Complexity,Loss,Equation
1,7074.2007,"824.20184"
3,4145.452,"Elast_ESD_Driver * 824.50305"
5,4081.4355,"(Clim_Sens + 821.3813) * Elast_ESD_Driver"
6,2217.5525,"(exp(Clim_Sens) + 794.7849) * Elast_ESD_Driver"
7,1859.6273,"((Clim_Sens * 70.91782) + 601.79535) * Elast_ESD_Driver"
8,1585.5754,"Elast_ESD_Driver * (exp(Clim_Sens + 0.6870093) + 765.44073)"
9,1518.0457,"((GDP * (Clim_Sens * 70.31822)) + 587.5762) * Elast_ESD_Driver"
10,1456.89,"Elast_ESD_Driver * (exp((Clim_Sens + GDP) - 0.35238022) + 763.5229)"
11,1388.4459,"Elast_ESD_Driver * (exp((GDP - cos(Biomass_Poten)) + Clim_Sens) + 768.89325)"
12,1126.0176,"(exp(Clim_Sens + 0.7219682) + (350.02612 - (GDP * -384.93918))) * Elast_ESD_Driver"
14,1122.5007,"(((374.41315 - (GDP * -388.26385)) + exp(Clim_Sens + 0.7224482)) * Elast_ESD_Driver) - 28.049582"
15,1117.976,"(exp(Biomass_Poten) + ((exp(Clim_Sens + 0.72195864) - (GDP * -384.74857)) + 347.18988)) * Elast_ESD_Driver"
16,1078.2466,"(Elast_ESD_Driver * (((exp(Clim_Sens + 0.5586232) * Biomass_Poten) + 360.1573) - (GDP * -397.70337))) - 24.848145"
18,874.2337,"(exp(Biomass_Poten + ((Clim_Sens - ((GDP * -4.204919) - -3.5615516)) - (SDR * 0.35299337))) + 764.27905) * Elast_ESD_Driver"
20,873.96356,"((exp((Biomass_Poten + (Clim_Sens - ((GDP * -4.194189) - -3.5550063))) - (SDR * 0.35140258)) + 766.08453) * Elast_ESD_Driver) + -1.9335045"
21,870.5646,"Elast_ESD_Driver * (exp(((Biomass_Poten + Clim_Sens) - ((GDP * -4.210668) - -3.5478275)) - (SDR * 0.35812137)) + (763.6221 - sin(SDR)))"
23,868.84973,"(exp(((Biomass_Poten + Clim_Sens) - ((GDP * -4.210668) - -3.5478275)) - (0.35812137 * SDR)) + (763.6221 - sin(SDR - Oil_Gas_Poten))) * Elast_ESD_Driver"
25,752.81036,"Elast_ESD_Driver * (((GDP * 277.40872) + 467.05222) + exp((GDP - (SDR * 0.3673621)) + ((Clim_Sens - (cos(GDP) - Biomass_Poten)) - (GDP - 1.5161415))))"
27,752.81024,"Elast_ESD_Driver * (((GDP * 277.40872) + -15.036147) + (exp((GDP - (SDR * 0.3673621)) + ((Clim_Sens - (cos(GDP) - Biomass_Poten)) - (GDP - 1.5161415))) + 482.08835))"
29,752.52997,"Elast_ESD_Driver * (exp(((GDP - (SDR * 0.3673621)) + (Clim_Sens - (cos(GDP) - Biomass_Poten))) - (GDP - 1.5161415)) + ((-15.036147 + (GDP * 277.40872)) + (481.22055 + 0.794717)))"
30,750.15344,"Elast_ESD_Driver * (((-15.036147 + (GDP * 277.40872)) + (481.22055 + sin(-0.010536483))) + exp(((GDP - (SDR * 0.3673621)) + (Clim_Sens - (cos(GDP) - Biomass_Poten))) - (GDP - 1.5161415)))"
