Complexity,Loss,Equation
1,7074.2007,"824.2016"
3,7007.8193,"Clim_Sens - -821.0576"
4,5138.638,"exp(Clim_Sens) + 794.48956"
5,4618.779,"(Clim_Sens * 73.47782) - -593.63293"
6,4520.7266,"exp(Clim_Sens + 0.67703956) + 765.7088"
7,4337.744,"((Clim_Sens * GDP) * 71.76651) - -582.4966"
9,4328.0625,"((Clim_Sens * GDP) * (Clim_Sens + 65.26214)) - -593.35596"
10,4185.694,"(GDP * 329.41684) + (exp(Clim_Sens + 0.7070342) + 410.08643)"
11,4103.3706,"((337.0829 * GDP) + exp(Clim_Sens - cos(SDR))) + 401.55606"
12,4027.6382,"(GDP * 343.39417) + (exp(cos(sin(SDR)) + Clim_Sens) + 390.74167)"
14,3895.2124,"((exp(Clim_Sens + cos(log(SDR - GDP))) + 279.36353) * GDP) + 467.20163"
16,3852.1738,"(((Clim_Sens + exp(Clim_Sens + cos(log(SDR - 1.3209307)))) + 277.3807) * GDP) + 465.27057"
18,3849.5007,"420.20572 + (GDP * (((exp(sin(SDR - 0.44958854) + Clim_Sens) + SDR) + 318.38623) + exp(Clim_Sens)))"
20,3821.976,"exp(Clim_Sens + cos(sin(SDR) - Pop)) + ((GDP * (((Clim_Sens + -1.2682507) * 31.013283) + 319.64368)) + 382.38748)"
22,3777.398,"exp(Clim_Sens + cos(sin(SDR) - (1.8448865 - Pop))) + ((GDP * (((Clim_Sens + -1.2682507) * 31.013283) + 319.64368)) + 382.38748)"
24,3772.8684,"((GDP * (((Clim_Sens + exp(Clim_Sens + cos(sin(SDR) - 0.9317308))) + 313.42093) - 26.900679)) + 374.88428) + (SDR + (Clim_Sens * 31.42808))"
26,3772.108,"(31.013283 * (-1.2682507 + Clim_Sens)) + (((319.64368 * GDP) + exp((Clim_Sens + sin(SDR)) - cos(SDR + sin(sin(SDR) - Pop)))) + 382.38748)"
27,3754.3984,"(GDP * ((Clim_Sens + (exp(Clim_Sens + (sin(SDR) + cos(sin(SDR - 32.122963)))) + 305.163)) - 35.1359)) + (((Clim_Sens + SDR) * 16.748735) + 365.98303)"
28,3750.918,"(((((SDR * 5.797576) + 3.9379902) * Clim_Sens) + -11.200531) + exp((sin(SDR) + Clim_Sens) - cos((0.9499473 - SDR) + -0.5240748))) + ((GDP * 314.2468) + 372.59296)"
