Complexity,Loss,Equation
1,205.18623,"2.824855"
2,198.57755,"sin(Clim_Sens)"
3,181.3115,"16.563887 / Clim_Sens"
4,27.87504,"sin(Clim_Sens) * 24.900133"
5,11.421748,"(197.41306 / Clim_Sens) - 62.983273"
6,8.139279,"(sin(Clim_Sens) * 74.48481) / Clim_Sens"
7,8.054982,"sin(sin(Clim_Sens)) * (81.95867 / Clim_Sens)"
8,7.3632355,"sin(Clim_Sens - -0.044307303) * (76.4465 / Clim_Sens)"
9,3.3508134,"exp(sin(Clim_Sens * 0.78757125) * 3.7924774) + -13.534762"
11,2.6508048,"exp(sin(Clim_Sens - 0.5387929) * 3.5929527) - (Clim_Sens * 3.1019478)"
13,2.3235784,"exp(sin(Clim_Sens - 0.51982427) * 3.5455577) - ((Clim_Sens * 4.1905165) - SDR)"
14,2.179748,"exp(sin(Clim_Sens - 0.53857446) * 3.592012) - (Clim_Sens * (4.4585004 - log(SDR)))"
16,2.1279898,"exp(sin(Clim_Sens - 0.52717376) * 3.5602427) - ((Clim_Sens * (5.196679 - log(SDR))) + -2.883409)"
17,2.0821347,"exp(sin(Clim_Sens - 0.52653) * 3.584067) - ((3.9727955 - log(SDR - log(Clim_Sens))) * Clim_Sens)"
19,2.0682883,"exp(sin(Clim_Sens - 0.5276782) * 3.5709054) + (0.93161595 - ((4.249588 - log(SDR - log(Clim_Sens))) * Clim_Sens))"
21,2.0167265,"(exp(sin(Clim_Sens - 0.5243947) * 3.6007977) - (Clim_Sens * (3.9247127 - log((SDR - cos(Clim_Sens)) - 1.4161681)))) - Pop"
23,2.0161934,"(exp(3.5734863 * sin(Clim_Sens - 0.5254611)) - (Clim_Sens * (4.100342 - log(SDR - log(0.20392387 * (Clim_Sens * Clim_Sens)))))) + 0.035862356"
24,2.003588,"(exp(sin(Clim_Sens - 0.5243947) * 3.6007977) - (Clim_Sens * (3.9247127 - log((SDR - cos(cos(-1.310201) + Clim_Sens)) - GDP)))) - 1.0695556"
26,1.9865583,"(exp(sin(Clim_Sens - 0.5243947) * 3.6007977) - (Clim_Sens * (3.9247127 - log((SDR - cos((Clim_Sens + 0.08086089) + cos(-1.310201))) - GDP)))) - 1.0695556"
