Complexity,Loss,Equation
1,68.695816,"40.290573"
3,25.382372,"Clim_Sens * 12.7193575"
5,22.156422,"(Clim_Sens * 10.115865) + 8.546616"
6,17.388922,"exp(Clim_Sens / 1.3418896) + 28.394007"
8,17.286032,"(GDP * exp(Clim_Sens / 1.3609284)) + 28.92467"
9,17.281946,"log(GDP) + (exp(Clim_Sens / 1.3417709) + 28.321331)"
10,16.286388,"(GDP * (exp(Clim_Sens / 1.3667108) - -6.476001)) + 21.297905"
13,15.296623,"exp(2.6433165 - sin(((Clim_Sens - 5.845251) / GDP) + 5.2964807)) + 28.306648"
23,15.25813,"(((Clim_Sens + sin(sin(sin((Clim_Sens + Clim_Sens) + (GDP - 2.761948))) * 1.1822032)) - -3.0847557) * Clim_Sens) + exp(GDP - -1.9891461)"
27,15.192335,"(Clim_Sens * ((Clim_Sens + sin(sin(Clim_Sens + ((Clim_Sens * (sin(sin(Clim_Sens)) - -3.3734055)) + -2.3303275)) * log(Clim_Sens))) - -2.9940424)) + exp(GDP - -2.0140913)"
