Complexity,Loss,Equation
1,134.27243,"10.180384"
3,86.39672,"36.13087 / Clim_Sens"
5,3.9990478,"63.28635 - (Clim_Sens * 16.924183)"
6,1.5751485,"(sin(Clim_Sens) + 0.45527416) * 21.098217"
8,1.5509249,"(cos(1.5414642 - Clim_Sens) + 0.47673574) * 21.182066"
10,1.2127746,"((cos(Clim_Sens - 1.1989475) + 4.419132) - Clim_Sens) * 10.007205"
11,0.99834174,"((cos(cos(0.61353964 - Clim_Sens)) + 3.076976) - Clim_Sens) * 14.586814"
13,0.99834156,"(((cos(cos(0.61358875 - Clim_Sens)) + 3.0505126) - Clim_Sens) * 14.586632) + 0.38590965"
14,0.9898178,"((cos(cos(sin(cos(cos(Clim_Sens))) - Clim_Sens)) - Clim_Sens) + 3.1105113) * 14.375877"
15,0.9763981,"((-2.7530425 / SDR) + 15.322376) * ((cos(cos(3.7540045 - Clim_Sens)) + 3.075781) - Clim_Sens)"
17,0.93257207,"((cos(cos(sin(cos(cos(cos(1.906672 - Clim_Sens)))) - Clim_Sens)) + 3.0935748) - Clim_Sens) * 14.40387"
19,0.93141615,"((3.0942926 - Clim_Sens) + cos(cos(sin(cos(cos(-0.10182603 - cos(Clim_Sens + 1.1031827)))) - Clim_Sens))) * 14.388696"
20,0.92112076,"(cos(cos(sin(cos(cos(cos((Clim_Sens - Pop) + cos(Clim_Sens))))) - Clim_Sens)) + (3.0922477 - Clim_Sens)) * 14.393973"
22,0.84596336,"(cos(((4.9991117 - Clim_Sens) + sin(-1.8719318 - SDR)) - Clim_Sens) + 9.495183) * ((4.333135 - Clim_Sens) + cos(1.2708324 - Clim_Sens))"
30,0.80765116,"(cos(((5.8970103 / Clim_Sens) + sin(sin((5.465689 - Clim_Sens) + (cos(SDR - Clim_Sens) - Clim_Sens)))) - Clim_Sens) + 9.510903) * ((cos(Clim_Sens - 1.3268069) + 4.2977586) - Clim_Sens)"
