Complexity,Loss,Equation
1,260.06964,"55.34808"
3,65.986084,"Clim_Sens * 17.783144"
5,58.315075,"(21.733757 - SDR) * Clim_Sens"
7,54.141663,"((24.6958 - SDR) * Clim_Sens) + -9.723657"
9,49.472733,"(((Clim_Sens + -2.5129557) * 79.07265) / SDR) + 42.413105"
11,47.29237,"((GDP * (Clim_Sens + -2.431825)) * (74.40053 / SDR)) + 40.65039"
13,46.42916,"(GDP * (17.384916 - ((Clim_Sens + -2.5104141) * (-74.83132 / SDR)))) + 23.53748"
16,45.743435,"((sin(Clim_Sens * 2.326346) - (-75.52568 / SDR)) * ((Clim_Sens + -2.40877) * GDP)) + 39.673576"
18,45.208862,"((GDP * ((sin(Clim_Sens * 2.3690147) * 2.0500355) - (-77.261 / SDR))) * (Clim_Sens + -2.4386475)) + 39.796585"
19,44.913284,"(((Clim_Sens + -2.3675005) * GDP) * (cos((Clim_Sens + sin(SDR)) * 2.4219074) - (-75.21749 / SDR))) + 38.979942"
22,44.724495,"(((GDP - -1.2770901) * (GDP + cos(3.7428482 * Clim_Sens))) - ((-74.35155 * ((-2.4806864 + Clim_Sens) / SDR)) * GDP)) + 38.956997"
23,44.527122,"(((cos(((Clim_Sens * cos(Clim_Sens)) * 3.210819) + -2.3451447) + GDP) - (((Clim_Sens + -2.4276884) * -73.98999) / SDR)) * GDP) + 39.102303"
25,44.43084,"(((GDP + cos((Clim_Sens * 3.2899735) + 1.0368183)) * (log(Clim_Sens) - -1.3545073)) - ((((Clim_Sens + -2.3990512) / SDR) * -70.86705) * GDP)) + 38.143353"
28,43.429283,"38.956997 + ((((GDP - -1.2770901) * (GDP + cos(3.7428482 * (Clim_Sens * cos(cos(Clim_Sens / 2.2039824)))))) - ((-74.35155 * (Clim_Sens + -2.4806864)) / SDR)) * GDP)"
29,43.394848,"(((cos((cos(Clim_Sens / -0.44451374) * (Clim_Sens + -3.3435218)) * 4.108735) + GDP) * (GDP - -1.3523695)) - (GDP * ((Clim_Sens + -2.429868) * (-73.44908 / SDR)))) + 37.973625"
30,43.090286,"((((GDP - -1.2770901) * (cos(((Clim_Sens * cos(cos(Clim_Sens / -2.2024))) + -3.2704258) * 3.7428482) + GDP)) - ((Clim_Sens + -2.4806864) * (-74.35155 / SDR))) * GDP) + 38.956997"
