Complexity,Loss,Equation
1,68.695816,"40.286957"
3,25.382372,"Clim_Sens * 12.7193575"
5,21.600498,"(GDP + Clim_Sens) * 9.581504"
6,17.388918,"exp(Clim_Sens / 1.3418338) + 28.393845"
8,16.413399,"exp((Clim_Sens / 1.8281579) + GDP) + 22.777391"
9,15.835185,"(exp(cos(Clim_Sens + GDP)) * 14.105708) + 29.262568"
11,15.361937,"((GDP + exp(cos(Clim_Sens + GDP))) * 14.13632) + 14.054179"
12,15.357964,"((exp(cos(Clim_Sens + GDP)) + log(GDP)) * 14.142866) + 28.241035"
13,15.2482395,"((exp(sin((GDP + -4.6221647) + Clim_Sens)) + GDP) * 13.402625) + 14.68833"
15,15.230402,"((Pop + 12.392141) * (GDP + exp(sin((GDP + -4.6226645) + Clim_Sens)))) + 14.684383"
17,15.225958,"(((Pop + 12.394359) * (exp(sin((Clim_Sens + GDP) + -4.622729)) + GDP)) + Pop) + 13.66579"
18,15.175403,"((exp(sin((Clim_Sens + GDP) + 1.6723479) * Pop) * 13.087735) + exp(GDP + 1.4225434)) + 17.090492"
19,15.116182,"(exp(Pop * (sin(Clim_Sens + -0.07613716) * -2.9134204)) + 23.898645) - ((GDP - 0.38891366) * (Clim_Sens * -6.365022))"
21,15.097116,"(25.701279 - (((GDP - 0.52668005) * Clim_Sens) * -6.4373503)) + exp(((sin(Clim_Sens + -0.13739148) * Pop) * -2.2947967) + 0.7387288)"
22,14.865687,"(exp((-2.922226 - (sin(-32.669926 * SDR) * -0.22215231)) * sin(Clim_Sens)) + 25.00935) - (-6.478268 * (Clim_Sens * (GDP - 0.47321895)))"
23,14.8513365,"(exp((-2.922226 - (-0.22215231 * sin(SDR * -32.669926))) * sin(Clim_Sens)) + 25.00935) - ((Clim_Sens * (GDP - log(1.5927993))) * -6.478268)"
24,14.531311,"(exp((Pop * sin(Clim_Sens)) * (-2.923289 - (sin(SDR * -32.669403) * -0.22301553))) + 25.04096) - ((Clim_Sens * (GDP - 0.4733273)) * -6.4614162)"
25,14.530782,"(25.043945 - ((GDP - 0.47338864) * (Clim_Sens * -6.468219))) + exp((Pop * (-2.9239366 - sin(sin(SDR * -32.671734) * -0.22421281))) * sin(Clim_Sens))"
26,14.225957,"exp(sin(Clim_Sens + -0.1266924) * ((-2.8839257 - (sin(SDR * -32.65664) * -0.29041514)) * Pop)) + (23.084467 - ((Clim_Sens * (GDP - 0.3245102)) * -6.2601476))"
27,14.225401,"exp((Pop * (-2.8841786 - sin(sin(SDR * -32.657402) * -0.29343563))) * sin(Clim_Sens + -0.12635499)) + (23.090836 - ((GDP - 0.32526505) * (Clim_Sens * -6.2627883)))"
28,14.190565,"exp(Pop * ((-2.8840604 - ((sin(SDR * -32.658554) * -0.2891273) * Pop)) * sin(Clim_Sens + -0.12789638))) + (23.093216 - (Clim_Sens * ((GDP - 0.3252407) * -6.2641315)))"
29,14.182477,"exp((-2.880726 - ((Pop * -0.34581158) * sin(sin(SDR * -32.67634)))) * (sin(Clim_Sens + -0.1366695) * Pop)) + (23.09433 - ((Clim_Sens * -6.2644506) * (GDP - 0.3231302)))"
30,14.105316,"(exp((((-2.7057817 - ((sin(SDR * -32.6565) * -1.1145473) / SDR)) * sin(Clim_Sens + -0.1400432)) - -0.18769513) * Pop) + 23.121904) - ((Clim_Sens * -6.2050395) * (GDP - 0.3269733))"
