Complexity,Loss,Equation
1,260.06964,"55.34796"
3,65.986084,"Clim_Sens * 17.782927"
5,58.315075,"Clim_Sens * (21.733816 - SDR)"
7,54.141663,"(Clim_Sens * (24.697865 - SDR)) + -9.730436"
9,52.65318,"((24.528807 - (SDR / GDP)) * Clim_Sens) - 10.021039"
11,50.771927,"((14.124058 - SDR) * (GDP + Pop)) * (Clim_Sens - 0.5337037)"
13,49.57398,"((((GDP + 1.1150197) * Clim_Sens) - 1.5261104) * (13.572693 - SDR)) + SDR"
15,48.90639,"((GDP + 0.9732494) / (SDR - Pop)) * (((Clim_Sens * SDR) + -1.6216011) * 7.277624)"
17,48.280987,"(((((Clim_Sens * SDR) + -1.6782978) * 7.6213) - 2.8827803) * (GDP + 0.85707885)) / (SDR - 1.1675318)"
19,47.942005,"((((GDP + 0.62068635) / (SDR - 1.3579292)) * (((Clim_Sens * SDR) + -2.8455925) * 8.0231285)) - GDP) - -5.9455986"
22,47.56932,"((GDP + 0.9789117) / (SDR - Pop)) * ((((Clim_Sens * SDR) + -1.3874319) * 6.9751725) - (Clim_Sens * cos(Pop - Clim_Sens)))"
26,46.081184,"((6.5738378 * Clim_Sens) * (((GDP + 1.0372056) / (SDR - Pop)) * SDR)) + (-6.4962606 - (cos((-2.6091223 - SDR) - (Clim_Sens - Pop)) * 5.1805897))"
28,45.854668,"((((Clim_Sens * 6.37407) * SDR) + -6.6539707) - ((Clim_Sens + Pop) * cos((Clim_Sens - Pop) - (-2.560847 - SDR)))) * ((GDP + 1.1055013) / (SDR - Pop))"
29,45.779778,"((GDP + 0.998255) / (SDR - Pop)) * (((Clim_Sens * (SDR * 7.127647)) + (-9.181597 - (cos((Clim_Sens + exp(Clim_Sens * 0.5734919)) - Pop) * SDR))) - GDP)"
30,44.73636,"(((Pop - (cos((-2.5143068 - SDR) - (Clim_Sens - Pop)) * (Clim_Sens + Clim_Sens))) + ((Clim_Sens * 5.3509307) * SDR)) * ((GDP + 1.3320915) / (SDR - Pop))) - 2.891237"
