Complexity,Loss,Equation
1,260.06964,"55.34808"
3,65.986084,"Clim_Sens * 17.783209"
5,35.445595,"Elast_ESD_Driver * (Clim_Sens * 17.821432)"
7,28.607407,"(Elast_ESD_Driver * (Clim_Sens * 21.41068)) - 11.840913"
9,23.59555,"(SDR / -0.32474905) + ((Elast_ESD_Driver * Clim_Sens) / 0.046485648)"
11,22.545603,"(((Elast_ESD_Driver / 0.042247385) + (SDR / -0.71954036)) * Clim_Sens) + -0.9876549"
12,21.94351,"(SDR / -0.38208342) + (Elast_ESD_Driver * ((log(Elast_ESD_Driver) + Clim_Sens) / 0.047911752))"
14,20.964067,"(SDR / (exp(GDP) * -0.11703212)) + (Clim_Sens * ((Elast_ESD_Driver / 0.04485778) - Elast_ESD_Price))"
15,18.724924,"(Elast_ESD_Driver * Clim_Sens) * ((Clim_Sens * (4.3001432 - (SDR * (Clim_Sens * 0.12759572)))) + 9.228903)"
17,13.750814,"Elast_ESD_Driver * (Clim_Sens * ((Elast_ESD_Driver * (Clim_Sens * (4.41478 - (SDR * (Clim_Sens * 0.13006519))))) + 8.875001))"
18,13.427882,"(Elast_ESD_Driver * (Clim_Sens * (((5.6124554 - (SDR * (Clim_Sens * 0.14586148))) * exp(GDP)) + 15.648619))) - 27.84421"
20,11.95661,"Clim_Sens * ((Elast_ESD_Driver * GDP) * (((sin(Elast_ESD_Driver) * Clim_Sens) * (5.4232693 - ((Clim_Sens * SDR) * 0.15912282))) + 7.5242987))"
21,10.487536,"Clim_Sens * ((((Clim_Sens * (4.696667 - ((SDR / (GDP * 65.274506)) * (9.6616745 * Clim_Sens)))) * Elast_ESD_Driver) + 8.322769) * Elast_ESD_Driver)"
22,10.485419,"((Elast_ESD_Driver * ((4.700421 - ((sin(SDR / (GDP * 65.77051)) * Clim_Sens) * 9.750468)) * Clim_Sens)) + 8.316609) * (Elast_ESD_Driver * Clim_Sens)"
23,10.304816,"Elast_ESD_Driver * ((Clim_Sens * (((Clim_Sens * Elast_ESD_Driver) * (5.0163918 - ((Clim_Sens * (SDR / (GDP * 88.766174))) * 12.796454))) + 5.391427)) - -5.4242964)"
24,10.153584,"(log(SDR) + (Clim_Sens * (((Clim_Sens * (4.906664 - (((Clim_Sens * SDR) * 11.84172) / (GDP * 77.917465)))) * Elast_ESD_Driver) + 7.3620396))) * Elast_ESD_Driver"
25,9.936652,"(((Elast_ESD_Driver * (Clim_Sens * (4.6766257 - (((SDR / (GDP * 86.23421)) * Clim_Sens) * 12.668608)))) + (8.337197 - (Elast_ESD_Price - GDP))) * Clim_Sens) * Elast_ESD_Driver"
27,9.541734,"(Elast_ESD_Driver + (((Clim_Sens * (((5.271144 - ((SDR / (GDP * 65.11712)) * (Clim_Sens * 10.809685))) * (Clim_Sens * Elast_ESD_Driver)) + 6.5624533)) + SDR) * Elast_ESD_Driver)) + -3.0080867"
28,9.420773,"Elast_ESD_Driver * (((Clim_Sens * ((((5.039558 - (Clim_Sens * ((SDR * 9.201339) / (GDP * 65.478905)))) * Elast_ESD_Driver) * (log(GDP) + Clim_Sens)) + 4.772443)) - -6.946436) - Elast_ESD_Price)"
29,9.404346,"((Bioenergy_CCS_Inv_Cost + ((((((Clim_Sens * (5.8210626 - ((SDR / (GDP * 65.142105)) * (Clim_Sens * 10.984535)))) * Elast_ESD_Driver) + 3.3181872) * Clim_Sens) + SDR) * Elast_ESD_Driver)) + -0.02210331) - -1.7406149"
