Complexity,Loss,Equation
1,7074.2007,"824.20184"
3,4145.4517,"Elast_ESD_Driver * 824.5033"
5,4081.4355,"Elast_ESD_Driver * (Clim_Sens + 821.3813)"
6,2217.5522,"(exp(Clim_Sens) + 794.7875) * Elast_ESD_Driver"
7,1859.6273,"((Clim_Sens * 70.91283) + 601.8113) * Elast_ESD_Driver"
8,1585.5756,"(exp(Clim_Sens - -0.68684745) + 765.4477) * Elast_ESD_Driver"
9,1411.5203,"(exp(Clim_Sens - cos(SDR)) + 767.9897) * Elast_ESD_Driver"
10,1389.5696,"(exp((GDP * Clim_Sens) - -0.3389341) + 769.7775) * Elast_ESD_Driver"
11,1297.0254,"Elast_ESD_Driver * (exp((Clim_Sens - -2.0095465) - log(SDR)) + 766.4785)"
12,1222.8257,"Elast_ESD_Driver * (exp(GDP * ((CO2_Storage_Poten / SDR) + Clim_Sens)) - -771.11707)"
14,1155.2495,"(GDP + 0.6186225) * ((((Clim_Sens * Clim_Sens) - -446.63342) + exp(Clim_Sens)) * Elast_ESD_Driver)"
16,1118.6472,"Elast_ESD_Driver * (((Biomass_Poten * 101.17464) + exp((Clim_Sens + (Land_Sinks / SDR)) * GDP)) - -660.0614)"
17,1033.201,"Elast_ESD_Driver * ((exp(Clim_Sens) + (300.42957 - ((Biomass_Poten * Clim_Sens) * -34.641087))) + (exp(GDP) * 127.68791))"
19,995.81433,"((exp(GDP) * 134.85085) + (exp(Clim_Sens + 0.34559965) + (302.3672 - ((Clim_Sens * Biomass_Poten) * -24.5289)))) * Elast_ESD_Driver"
22,990.83234,"(((exp(GDP) * 134.54105) + exp(Clim_Sens + 0.3463274)) + ((302.93427 - ((Clim_Sens * Biomass_Poten) * -24.466211)) - cos(SDR))) * Elast_ESD_Driver"
23,885.2998,"(((exp(Clim_Sens * GDP) + 594.50604) + (exp((GDP - -2.5463307) + GDP) * Biomass_Poten)) - ((-85.181335 / SDR) * Clim_Sens)) * Elast_ESD_Driver"
25,883.71277,"((((exp((GDP - -2.498588) + GDP) * Biomass_Poten) - ((-88.54048 / SDR) * Clim_Sens)) + (exp(Clim_Sens * GDP) + 626.7523)) * Elast_ESD_Driver) + -29.600185"
26,859.9382,"(exp((log(Other_ESD_Drivers) + Clim_Sens) * GDP) + (((Biomass_Poten * exp(GDP + (GDP - -2.5181901))) + 595.0753) - ((-88.90943 / SDR) * Clim_Sens))) * Elast_ESD_Driver"
27,787.00354,"Elast_ESD_Driver * ((exp(GDP * Clim_Sens) + ((exp((GDP - -2.5337932) + GDP) * Biomass_Poten) + 629.4087)) - (Clim_Sens * (((Clim_Sens * -50.63242) / SDR) / SDR)))"
29,785.5463,"((((exp((GDP + GDP) - -2.5468361) * Biomass_Poten) + (exp(GDP * Clim_Sens) + 640.9827)) - (Clim_Sens * ((Clim_Sens * (-51.0241 / SDR)) / SDR))) * Elast_ESD_Driver) + -13.504362"
