Complexity,Loss,Equation
1,5624.16,"811.9816"
3,5588.5356,"Clim_Sens + 808.8614"
4,4935.1504,"exp(Clim_Sens) + 782.79895"
5,4914.4146,"(Clim_Sens * 39.34289) + 689.35406"
6,4879.139,"(GDP * exp(Clim_Sens)) + 780.7227"
7,4696.2856,"((GDP * 41.436333) * Clim_Sens) + 673.24976"
8,4535.091,"((GDP * 351.02908) + exp(Clim_Sens)) + 405.4604"
10,4500.8647,"exp(Clim_Sens) + ((GDP * (Temp_Limit + 347.76636)) + 405.4133)"
12,4482.7563,"((GDP * ((Temp_Limit + 344.71518) + Temp_Limit)) + 405.13754) + exp(Clim_Sens)"
14,4476.218,"(GDP * ((Temp_Limit + (Temp_Limit + 344.76904)) - SDR)) + (exp(Clim_Sens) + 409.6849)"
15,4462.5435,"398.77933 + ((GDP * (353.44025 + (SDR * cos(Delay)))) + exp(1.0093668 * Clim_Sens))"
16,4461.37,"((GDP * (((Temp_Limit + Temp_Limit) / exp(sin(Delay))) + 345.5251)) + 405.02487) + exp(Clim_Sens)"
17,4362.5977,"(Delay * -7.57336) + (((Delay + (279.23218 / Clim_Sens)) + 21.407288) * ((GDP + Clim_Sens) + Clim_Sens))"
19,4207.3115,"((Delay * -3.1787822) + ((((Delay + Temp_Limit) + 6.5729876) + (118.18065 / Clim_Sens)) * (Clim_Sens + GDP))) * 3.7514684"
21,4180.8804,"((Delay * -5.652673) + (((Temp_Limit + 37.945236) + (Delay + (632.72577 / Clim_Sens))) * ((Clim_Sens + GDP) + Clim_Sens))) - 1006.61584"
23,4135.1504,"(Delay * -8.086829) + ((((GDP + Clim_Sens) + -0.5333057) + GDP) * ((Delay + (((140.14386 / Clim_Sens) + Temp_Limit) + 24.422087)) * 2.2350168))"
25,4124.9307,"(((Pop + ((GDP + (GDP + -1.4625729)) + Clim_Sens)) * (Temp_Limit + (Delay + ((135.53433 / Clim_Sens) + 24.891376)))) * 2.2250273) + (Delay * -8.187516)"
