Complexity,Loss,Equation
1,7.0930586,"32.838448"
3,1.1251535,"Elast_ESD_Driver * 32.872414"
5,1.0068016,"(Elast_ESD_Driver * 38.188522) + -5.336523"
6,0.8669008,"(exp(GDP) - -29.941536) * Elast_ESD_Driver"
7,0.36728066,"(16.1481 - (GDP * -15.575848)) * Elast_ESD_Driver"
9,0.21159807,"(((GDP * 15.97844) - -21.813295) * Elast_ESD_Driver) + -6.121031"
11,0.1817927,"((Elast_ESD_Driver * Elast_ESD_Driver) * (36.469067 - (18.113226 / GDP))) - -13.216822"
13,0.09042701,"((((Other_ESD_Drivers * 4.6860414) - -34.18018) * Elast_ESD_Driver) - (18.429111 / GDP)) - -11.150241"
14,0.060115166,"((exp(Elast_ESD_Driver + GDP) + Other_ESD_Drivers) * 4.954336) - ((GDP + -0.5716407) * 23.307764)"
16,0.059426315,"((exp(GDP + Elast_ESD_Driver) + Other_ESD_Drivers) * 4.874659) - (((GDP + -0.64323145) * 23.464035) + 0.86482364)"
18,0.058048718,"(((GDP + exp(GDP + Elast_ESD_Driver)) + Other_ESD_Drivers) * 4.852917) - ((GDP + -0.47462305) * (GDP + 25.638477))"
20,0.05745443,"((exp(GDP + Elast_ESD_Driver) + ((GDP + -0.75602597) + Other_ESD_Drivers)) * 4.881169) - ((GDP + -0.6129854) * (GDP + 26.239183))"
21,0.04362706,"(5.7991786 - (((cos(Elast_ESD_Driver) + GDP) * 1.8957393) + -2.2496529)) * ((exp(Elast_ESD_Driver + (GDP + -0.334669)) + Other_ESD_Drivers) - 0.14010963)"
23,0.04137859,"((Other_ESD_Drivers + exp(GDP + (-0.3077057 + Elast_ESD_Driver))) * (5.0600395 - ((cos(Elast_ESD_Driver) + (GDP + -1.5398273)) * (1.6174268 * GDP)))) + -1.0422479"
25,0.032551132,"(((Other_ESD_Drivers + exp(GDP + (Elast_ESD_Driver + -0.3011842))) * (5.067187 - ((((cos(Elast_ESD_Driver) + -1.5204201) + GDP) * GDP) * 1.5933412))) - Wind_Inv_Cost) - -0.018167589"
