Complexity,Loss,Equation
1,81.7045,"31.496033"
3,52.574993,"Clim_Sens * 10.018738"
5,42.208843,"(Clim_Sens * 11.0327) - Temp_Limit"
6,36.704224,"(31.47698 - Temp_Limit) * log(Clim_Sens)"
8,24.513632,"exp((Clim_Sens / Temp_Limit) / 0.8161493) + 23.077261"
9,22.178629,"(Clim_Sens * (2.5946608 / (Temp_Limit / Clim_Sens))) + 19.561646"
11,19.619944,"((Clim_Sens / (Temp_Limit / Clim_Sens)) / (Temp_Limit / Clim_Sens)) + 23.069399"
13,19.109709,"((((Clim_Sens * Clim_Sens) / Temp_Limit) + -1.0276259) / (Temp_Limit / Clim_Sens)) + 24.518253"
14,13.667821,"(((Clim_Sens / Temp_Limit) * Clim_Sens) * ((Clim_Sens / Temp_Limit) - sin(Delay))) + 24.850452"
16,11.808188,"(((((Clim_Sens / Temp_Limit) - sin(Delay)) * Clim_Sens) * (Clim_Sens / Temp_Limit)) + 19.713135) * 1.1948868"
19,11.229212,"((Clim_Sens / Temp_Limit) * (((0.7865753 / (Temp_Limit / Clim_Sens)) - sin(sin(Delay))) * (Clim_Sens - -2.4589632))) + 22.975927"
23,8.582826,"((Clim_Sens * Clim_Sens) * (((0.7827204 / (Temp_Limit / Clim_Sens)) - (-0.5603422 - cos(sin(Delay) * (10.8559475 / Temp_Limit)))) / Temp_Limit)) + 22.247982"
25,8.338965,"(((Clim_Sens / Temp_Limit) * Clim_Sens) * (((0.76238334 / (Temp_Limit / Clim_Sens)) * GDP) - (-0.49009824 - cos(sin(Delay) * (10.826827 / Temp_Limit))))) + 22.307877"
27,7.9429927,"(((0.8433946 / (Temp_Limit / Clim_Sens)) - (-0.49018067 - cos(sin(Delay * Temp_Limit) * 3.4719028))) * ((Clim_Sens / Temp_Limit) * Clim_Sens)) + (18.116613 - (SDR * -1.0975322))"
29,7.925469,"((Clim_Sens * ((0.78539366 / (Temp_Limit / Clim_Sens)) - (-0.5664574 - cos((sin(Delay) * 0.9305361) * (-11.648416 / Temp_Limit))))) * (Clim_Sens / Temp_Limit)) + (17.252466 - (SDR * -1.2441353))"
30,7.5022955,"(((log(Clim_Sens / (Temp_Limit / Clim_Sens)) - (0.051128495 - cos(sin(Delay) * ((10.642428 / Temp_Limit) / 0.9327844)))) * (Clim_Sens / (Temp_Limit / Clim_Sens))) + 18.05493) - (SDR * -1.2944407)"
